0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:11 +0700] "GET /img/login_bg_header.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:16 +0700] "GET /test/showRegister?masv=123 HTTP/1.1" 200 20118
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:16 +0700] "GET /test/%EF%BF%BDPNG%1A%EF%BF%BD%EF%BF%BD%EF%BF%BDIHDR%EF%BF%BD%EF%BF%BD%02%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%08%06%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%C3%AC%EF%BF%BD%EF%BF%BD%EF%BF%BD%01sRGB%EF%BF%BD%EF%BF%BD%EF%BF%BD%1C%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%04gAMA%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%0B%EF%BF%BDa%05%EF%BF%BD%EF%BF%BD%EF%BF%BDpHYs%EF%BF%BD%EF%BF%BD%12t%EF%BF%BD%EF%BF%BD%12t%01%EF%BF%BDf%1Fx%EF%BF%BD%EF%BF%BD%14,IDATx%5E%EF%BF%BD%DD%BF%EF%BF%BD HTTP/1.1" 404 1225
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:17 +0700] "GET /test/login.jsp HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:17 +0700] "GET /img/login_bg_header.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:20 +0700] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:20 +0700] "GET /test/index.jsp HTTP/1.1" 200 9306
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:21 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:24 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11047
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:24 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:52 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:55 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11019
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:52:55 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:53:07 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:53:10 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11019
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:53:10 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:53:18 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:53:21 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11047
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:53:21 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:00 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:02 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11047
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:02 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:06 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:09 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11047
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:09 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:44 +0700] "POST /test/registerRoom HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:54:44 +0700] "GET /test/index.jsp HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:15 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:17 +0700] "GET /test/login.jsp HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:17 +0700] "GET /img/login_bg_header.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:19 +0700] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:19 +0700] "GET /test/index.jsp HTTP/1.1" 200 9306
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:20 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:22 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11047
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:55:22 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:58:58 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:59:01 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11838
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:59:01 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:59:48 +0700] "POST /test/registerRoom HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:59:48 +0700] "GET /test/index.jsp HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:00:03 +0700] "GET /test/login.jsp HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:00:03 +0700] "GET /img/login_bg_header.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:00:05 +0700] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:00:05 +0700] "GET /test/index.jsp HTTP/1.1" 200 9306
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:00:08 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:00:10 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 11836
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:00:10 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:34 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:37 +0700] "GET /test/login.jsp HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:37 +0700] "GET /img/login_bg_header.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:40 +0700] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:40 +0700] "GET /test/index.jsp HTTP/1.1" 200 9306
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:42 +0700] "GET /test/register-live.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [03/Jul/2022:22:01:44 +0700] "GET /test/showRegister?masv=21it010 HTTP/1.1" 200 12129
